Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Task1, 250000, 1, 1, 0.000170, 0.010280, 0.010486
Task1, 250000, 2, 1, 0.001891, 0.010006, 0.011933
Task1, 250000, 4, 1, 0.002369, 0.005188, 0.007655
Task1, 250000, 8, 1, 0.002345, 0.002982, 0.009823
Task1, 500000, 1, 1, 0.000330, 0.026251, 0.026617
Task1, 500000, 2, 1, 0.003528, 0.025981, 0.029552
Task1, 500000, 4, 1, 0.006673, 0.013203, 0.019960
Task1, 500000, 8, 1, 0.003538, 0.007224, 0.019847
Task1, 750000, 1, 1, 0.000461, 0.046476, 0.046978
Task1, 750000, 2, 1, 0.004241, 0.046102, 0.050400
Task1, 750000, 4, 1, 0.004590, 0.023681, 0.028312
Task1, 750000, 8, 1, 0.004878, 0.012548, 0.025188
Task1, 1000000, 1, 1, 0.000740, 0.069000, 0.069782
Task1, 1000000, 2, 1, 0.004008, 0.068627, 0.072692
Task1, 1000000, 4, 1, 0.005628, 0.034838, 0.040510
Task1, 1000000, 8, 1, 0.005100, 0.018019, 0.031756
Task1, 1250000, 1, 1, 0.000863, 0.093855, 0.094766
Task1, 1250000, 2, 1, 0.004756, 0.092832, 0.097634
Task1, 1250000, 4, 1, 0.011247, 0.047695, 0.058988
Task1, 1250000, 8, 1, 0.007410, 0.024246, 0.040721
Task1, 1500000, 1, 1, 0.001016, 0.120727, 0.121787
Task1, 1500000, 2, 1, 0.005252, 0.119525, 0.124827
Task1, 1500000, 4, 1, 0.010777, 0.060716, 0.071561
Task1, 1500000, 8, 1, 0.007326, 0.031029, 0.047386
Task1, 1750000, 1, 1, 0.001294, 0.149553, 0.150893
Task1, 1750000, 2, 1, 0.005408, 0.148832, 0.154296
Task1, 1750000, 4, 1, 0.010862, 0.074727, 0.085671
Task1, 1750000, 8, 1, 0.008486, 0.038519, 0.056343
Task1, 2000000, 1, 1, 0.001386, 0.180335, 0.181776
Task1, 2000000, 2, 1, 0.006105, 0.179170, 0.185330
Task1, 2000000, 4, 1, 0.014119, 0.090802, 0.105039
Task1, 2000000, 8, 1, 0.010849, 0.045976, 0.066113
Task1, 2250000, 1, 1, 0.002292, 0.212369, 0.214706
Task1, 2250000, 2, 1, 0.006361, 0.211505, 0.217925
Task1, 2250000, 4, 1, 0.016318, 0.106375, 0.122748
Task1, 2250000, 8, 1, 0.009241, 0.054371, 0.072993
Task1, 2500000, 1, 1, 0.002283, 0.245488, 0.247819
Task1, 2500000, 2, 1, 0.005759, 0.245903, 0.251732
Task1, 2500000, 4, 1, 0.017039, 0.123476, 0.140598
Task1, 2500000, 8, 1, 0.011718, 0.062744, 0.082891
Task1, 2750000, 1, 1, 0.001251, 0.282662, 0.283951
Task1, 2750000, 2, 1, 0.009430, 0.281189, 0.290698
Task1, 2750000, 4, 1, 0.020013, 0.144397, 0.164650
Task1, 2750000, 8, 1, 0.012257, 0.072574, 0.094214
Task1, 3000000, 1, 1, 0.001853, 0.317859, 0.319756
Task1, 3000000, 2, 1, 0.008333, 0.316154, 0.324552
Task1, 3000000, 4, 1, 0.017685, 0.172748, 0.190634
Task1, 3000000, 8, 1, 0.017772, 0.081625, 0.107863
Task1, 3250000, 1, 1, 0.002071, 0.355967, 0.358085
Task1, 3250000, 2, 1, 0.009407, 0.356234, 0.365705
Task1, 3250000, 4, 1, 0.019604, 0.178891, 0.198661
Task1, 3250000, 8, 1, 0.015930, 0.090265, 0.115674
Task1, 3500000, 1, 1, 0.002610, 0.395186, 0.397894
Task1, 3500000, 2, 1, 0.009539, 0.394585, 0.404200
Task1, 3500000, 4, 1, 0.019521, 0.212741, 0.232599
Task1, 3500000, 8, 1, 0.014927, 0.101232, 0.119446
Task1, 3750000, 1, 1, 0.002301, 0.434115, 0.436481
Task1, 3750000, 2, 1, 0.011341, 0.435256, 0.446712
Task1, 3750000, 4, 1, 0.017928, 0.217955, 0.236109
Task1, 3750000, 8, 1, 0.016129, 0.112316, 0.137506
Task1, 4000000, 1, 1, 0.002872, 0.475365, 0.478340
Task1, 4000000, 2, 1, 0.009218, 0.486730, 0.496117
Task1, 4000000, 4, 1, 0.015101, 0.241908, 0.257281
Task1, 4000000, 8, 1, 0.017082, 0.121383, 0.146629
Task1, 4250000, 1, 1, 0.003587, 0.520036, 0.523741
