Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Task2, 1500000, 4, 4, 0.012815, 0.017629, 0.030619
Task2, 1500000, 4, 8, 0.007380, 0.024986, 0.032557
Task2, 1500000, 8, 1, 0.009186, 0.031503, 0.042730
Task2, 1500000, 8, 2, 0.008175, 0.016837, 0.034281
Task2, 1500000, 8, 4, 0.007849, 0.011715, 0.028449
Task2, 1750000, 1, 1, 0.001057, 0.148830, 0.149944
Task2, 1750000, 1, 2, 0.001113, 0.075704, 0.076855
Task2, 1750000, 1, 4, 0.000900, 0.051789, 0.052725
Task2, 1750000, 1, 8, 0.001104, 0.023901, 0.025042
Task2, 1750000, 2, 1, 0.011114, 0.149316, 0.160607
Task2, 1750000, 2, 2, 0.005140, 0.075166, 0.080355
Task2, 1750000, 2, 4, 0.007764, 0.049224, 0.057045
Task2, 1750000, 2, 8, 0.005959, 0.025434, 0.031444
Task2, 1750000, 4, 1, 0.012111, 0.075321, 0.087491
Task2, 1750000, 4, 2, 0.013620, 0.038819, 0.052619
Task2, 1750000, 4, 4, 0.010371, 0.021533, 0.032050
Task2, 1750000, 4, 8, 0.010664, 0.015167, 0.026000
Task2, 1750000, 8, 1, 0.014235, 0.038756, 0.061753
Task2, 1750000, 8, 2, 0.011149, 0.020525, 0.040438
Task2, 1750000, 8, 4, 0.008720, 0.013516, 0.030075
Task2, 2000000, 1, 1, 0.001556, 0.180505, 0.182135
Task2, 2000000, 1, 2, 0.001476, 0.091628, 0.093168
Task2, 2000000, 1, 4, 0.001223, 0.058910, 0.060171
Task2, 2000000, 1, 8, 0.001580, 0.032204, 0.033824
Task2, 2000000, 2, 1, 0.006657, 0.180376, 0.187105
Task2, 2000000, 2, 2, 0.005550, 0.091559, 0.097166
Task2, 2000000, 2, 4, 0.004510, 0.052905, 0.057464
Task2, 2000000, 2, 8, 0.004544, 0.031390, 0.035984
Task2, 2000000, 4, 1, 0.016480, 0.091056, 0.107737
Task2, 2000000, 4, 2, 0.015443, 0.046527, 0.062110
Task2, 2000000, 4, 4, 0.015036, 0.031784, 0.047030
Task2, 2000000, 4, 8, 0.013990, 0.020795, 0.034863
Task2, 2000000, 8, 1, 0.009989, 0.056943, 0.067792
Task2, 2000000, 8, 2, 0.009480, 0.023839, 0.042326
Task2, 2000000, 8, 4, 0.011176, 0.012868, 0.032863
Task2, 2250000, 1, 1, 0.001406, 0.212399, 0.213873
Task2, 2250000, 1, 2, 0.001383, 0.107485, 0.108931
Task2, 2250000, 1, 4, 0.001341, 0.063350, 0.064727
Task2, 2250000, 1, 8, 0.001361, 0.036550, 0.037949
Task2, 2250000, 2, 1, 0.005209, 0.210883, 0.216165
Task2, 2250000, 2, 2, 0.004277, 0.106071, 0.110394
Task2, 2250000, 2, 4, 0.004924, 0.054206, 0.059241
Task2, 2250000, 2, 8, 0.005689, 0.031875, 0.037630
Task2, 2250000, 4, 1, 0.012184, 0.106262, 0.118530
Task2, 2250000, 4, 2, 0.014765, 0.054776, 0.069708
